index,key_suffix,name,display_name,hex,L,a,b
115,c115,Whisky Barrel,Whisky Barrel,#96745b,0.585845,0.030054,0.047541
116,c116,Magenta Memoir,Magenta Memoir,#b4559b,0.589821,0.139004,-0.054857
117,c117,Benevolent Pink,Benevolent Pink,#dd1188,0.591501,0.236268,-0.026175
118,c118,Magenta Affair,Magenta Affair,#aa44dd,0.592214,0.152695,-0.169563
119,c119,Asparagus Sultan,Asparagus Sultan,#6a8e22,0.598726,-0.082678,0.111116
120,c120,Way Beyond the Blue,Way Beyond the Blue,#1188cc,0.601193,-0.064585,-0.123486
121,c121,Mt. Rushmore,Mt. Rushmore Gray,#7f8181,0.601541,-0.002293,-0.000705
122,c122,Horror Snob,Horror Snob Red,#d34d4d,0.602129,0.155205,0.068138
123,c123,Spectacular Purple,Spectacular Purple,#bb02fe,0.603427,0.201728,-0.223752
124,c124,Blue Öyster Cult,Blue Öyster Cult,#5577ee,0.606359,-0.004830,-0.182730
